act_symbol,date,period,sales,cost_of_goods,gross_profit,selling_administrative_depreciation_amortization_expenses,income_after_depreciation_and_amortization,non_operating_income,interest_expense,pretax_income,income_taxes,minority_interest,investment_gains,other_income,income_from_continuing_operations,extras_and_discontinued_operations,net_income,income_before_depreciation_and_amortization,depreciation_and_amortization,average_shares,diluted_eps_before_non_recurring_items,diluted_net_eps
A,2012-10-31,Year,6858000000,3254000000,3604000000,2485000000,1119000000,25000000,101000000,1043000000,-110000000,0,0,0,1153000000,0,1153000000,1420000000,301000000,353000000,3.12,3.27
A,2013-10-31,Year,6782000000,3247000000,3535000000,2584000000,951000000,15000000,107000000,859000000,135000000,0,0,0,724000000,0,724000000,1323000000,372000000,345000000,2.88,2.10
A,2014-10-31,Year,6981000000,3388000000,3593000000,2762000000,831000000,-72000000,113000000,646000000,142000000,0,0,0,504000000,0,504000000,1193000000,362000000,338000000,3.04,1.49
A,2015-10-31,Year,4038000000,1997000000,2041000000,1519000000,522000000,24000000,66000000,480000000,42000000,0,0,0,438000000,-37000000,401000000,775000000,253000000,335000000,1.74,1.20
A,2016-07-31,Quarter,1044000000,502000000,542000000,396000000,146000000,5000000,17000000,134000000,10000000,0,0,0,124000000,0,124000000,,,328000000,0.49,0.38
A,2016-10-31,Quarter,1111000000,523000000,588000000,405000000,183000000,-13000000,19000000,151000000,27000000,0,0,0,124000000,0,124000000,,,328000000,0.59,0.37
A,2016-10-31,Year,4202000000,2005000000,2197000000,1582000000,615000000,1000000,72000000,544000000,82000000,0,0,0,462000000,0,462000000,861000000,246000000,329000000,1.98,1.40
A,2017-01-31,Quarter,1067000000,493000000,574000000,368000000,206000000,7000000,20000000,193000000,25000000,0,0,0,168000000,0,168000000,,,326000000,0.53,0.52
A,2017-04-30,Quarter,1102000000,510000000,592000000,391000000,201000000,10000000,20000000,191000000,27000000,0,0,0,164000000,0,164000000,,,325000000,0.58,0.50
A,2017-07-31,Quarter,1114000000,518000000,596000000,395000000,201000000,11000000,19000000,193000000,18000000,0,0,0,175000000,0,175000000,,,326000000,0.59,0.54
A,2017-10-31,Quarter,1189000000,542000000,647000000,414000000,233000000,13000000,20000000,226000000,49000000,0,0,0,177000000,0,177000000,,,326000000,0.67,0.54
A,2017-10-31,Year,4472000000,2063000000,2409000000,1568000000,841000000,41000000,79000000,803000000,119000000,0,0,0,684000000,0,684000000,1053000000,212000000,326000000,2.36,2.10
A,2018-01-31,Quarter,1211000000,538000000,673000000,434000000,239000000,14000000,20000000,233000000,553000000,0,0,0,-320000000,0,-320000000,,,323000000,0.66,-0.99
A,2018-04-30,Quarter,1206000000,562000000,644000000,429000000,215000000,31000000,19000000,227000000,22000000,0,0,0,205000000,0,205000000,,,326000000,0.65,0.63
A,2018-07-31,Quarter,1203000000,542000000,661000000,436000000,225000000,35000000,18000000,242000000,6000000,0,0,0,236000000,0,236000000,,,324000000,0.67,0.73
A,2018-10-31,Quarter,1294000000,585000000,709000000,460000000,249000000,13000000,18000000,244000000,49000000,0,0,0,195000000,0,195000000,,,322000000,0.81,0.60
